Name,Address,Grades,Latitude,Longitude 
Mythos Pizza,"'203 Bowdoin St.,Boston,MA,USA'",'A; B; C',42.305133,-71.06806
Saigon One Restaurant,"'1331 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.30525,-71.059195
J P Kitchen,"'3510 Washington St.,Boston,MA,USA'",'A; B; C',42.3058337,-71.107846
Vina Roast,"'1305 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3062357,-71.0591088
Yanes Burrito's,"'3492 Washington St.,Boston,MA,USA'",'A; B; C',42.3062541,-71.1074603
Doyles Cafe,"'3484 Washington St.,Boston,MA,USA'",'A; B; C',42.3064259,-71.1072393
One Family Diner Inc.,"'260 Bowdoin St.,Boston,MA,USA'",'A; B; C',42.3068012,-71.0666751
Restaurante Cesaria,"'266 Bowdoin St.,Boston,MA,USA'",'A; B; C',42.306923,-71.06667
Burrito's Pizzeria,"'224 Columbia Rd.,Boston,MA,USA'",'A; B; C',42.3075243,-71.0763991
Jerk,"'310 Bowdoin St.,Boston,MA,USA'",'A; B; C',42.3079436,-71.065478
Mi Casa Tu Casa Restaurant,"'299 Hancock St.,Boston,MA,USA'",'A; B; C',42.3081374,-71.0587093
Express Pizzeria,"'3381 Washington St.,Boston,MA,USA'",'A; B; C',42.3087402,-71.1052662
Papa Johns Pizza,"'1224 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3087762,-71.0578362
King Do,"'1225 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.308859,-71.058521
Flames Restaurant Iii Inc.,"'469 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.3090113,-71.0832465
El Embajador Restaurant,"'3371 Washington St.,Boston,MA,USA'",'A; B; C',42.3091641,-71.1052281
Dunkin Donuts Blue Hill Ave,"'456 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.3094381,-71.0820627
Burger King,"'1200 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.309529,-71.057694
Grove Hall Pizza,"'651 Warren St.,Boston,MA,USA'",'A; B; C',42.3097686,-71.0830395
The Rotisserie,"'651 Warren St.,Boston,MA,USA'",'A; B; C',42.3097686,-71.0830395
Red Island Restaurant,"'657 Warren.,Boston,MA,USA'",'A; B; C',42.3103386,-71.083135
Dunkin Donuts(757 Centre St.),"'757 Centre St.,Boston,MA,USA'",'A; B; C',42.3104662,-71.1152151
Bartlett Square Cafe,"'154 Green St.,Boston,MA,USA'",'A; B; C',42.3104844,-71.1065318
J. P. Seafood Cafe Inc.,"'730 Centre St.,Boston,MA,USA'",'A; B; C',42.3108941,-71.1143439
The Real Deal,"'728 Centre St.,Boston,MA,USA'",'A; B; C',42.3110116,-71.114574
Sun Rise Restaurant Inc.,"'1157 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3112537,-71.0576012
Galway House Inc,"'710 Centre St.,Boston,MA,USA'",'A; B; C',42.31131,-71.1141459
Nhu Lan Fast Food,"'1155 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3114019,-71.0580481
Ghazal Fine Indian Cuisine,"'707 Centre St.,Boston,MA,USA'",'A; B; C',42.3114834,-71.114629
Noodle Barn,"'707 Centre St.,Boston,MA,USA'",'A; B; C',42.3114834,-71.114629
Mckenna's Cafe,"'109 Savin Hill Ave.,Boston,MA,USA'",'A; B; C',42.3115793,-71.0539351
Savin Scoops,"'107 Savin Hill Ave.,Boston,MA,USA'",'A; B; C',42.3115793,-71.0539351
Savin Bar And Kitchen,"'112 Savin Hill Ave.,Boston,MA,USA'",'A; B; C',42.3116909,-71.0535492
La Cuchara Restaurant Inc.,"'379 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.311744,-71.081143
J & J Irish Pub & Grille,"'1130 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3122453,-71.0571852
Corner Cafe,"'87 Prince St.,Boston,MA,USA'",'A; B; C',42.3123194,-71.1212087
Same Old Place Inc.,"'662 Centre.,Boston,MA,USA'",'A; B; C',42.31261,-71.113945
First Baptist Church In Jamaica Plain,"'633 Centre St.,Boston,MA,USA'",'A; B; C',42.3126572,-71.1143049
Taste Of India,"'1111 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3126584,-71.0574935
Lucky Cafe,"'1107 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3127356,-71.0574738
Navarrete Restaurant,"'445 Columbia Rd.,Boston,MA,USA'",'A; B; C',42.3128326,-71.0680476
J.P. Licks Inc.,"'659 Centre St.,Boston,MA,USA'",'A; B; C',42.3129047,-71.114463
Cape Verdeon Food Terraterra,"'79 Hancock St.,Boston,MA,USA'",'A; B; C',42.312984,-71.0650222
Harp & Bard,"'1097 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.313056,-71.057457
Delicias Del Caribe,"'149 Stoughton St.,Boston,MA,USA'",'A; B; C',42.314695,-71.0602723
Grass Fed,"'605 Centre St.,Boston,MA,USA'",'A; B; C',42.3147738,-71.1143228
Lucky Boston Chinese Rest.,"'3096 Washington St.,Boston,MA,USA'",'A; B; C',42.3150539,-71.098778
New York Fried Chicken,"'1985 Columbus Av Ave.,Boston,MA,USA'",'A; B; C',42.3150581,-71.0976251
Millenium Restaurant & Grill,"'3092 Washington St.,Boston,MA,USA'",'A; B; C',42.3151792,-71.0986509
New York Fried Chicken & Pizza,"'531 Columbia Rd.,Boston,MA,USA'",'A; B; C',42.315316,-71.0663966
Egleston Pizza,"'3080 Washington St.,Boston,MA,USA'",'A; B; C',42.3154112,-71.098455
Borinquen Bakery & Cafe,"'112 Stoughton St.,Boston,MA,USA'",'A; B; C',42.3154574,-71.061271
Sodexo U Mass Food Court,"'100 Wm T Morrissey Bl.,Boston,MA,USA'",'A; B; C',42.315672,-71.0479068
Boston Pizza & Grill,"'533 Columbia Rd.,Boston,MA,USA'",'A; B; C',42.3156864,-71.0659619
Mcdonald's(3060 Washington St.),"'3060 Washington St.,Boston,MA,USA'",'A; B; C',42.3158491,-71.0979374
Uphams House Of Pizza,"'556 Columbia Rd.,Boston,MA,USA'",'A; B; C',42.31633,-71.0661721
Dublin House,"'9 Stoughton St.,Boston,MA,USA'",'A; B; C',42.316871,-71.0647189
New Garden Restaurant,"'746 Dudley St.,Boston,MA,USA'",'A; B; C',42.3178188,-71.0668857
Ideal Cafe 'D Pizza,"'482 Centre St.,Boston,MA,USA'",'A; B; C',42.3185965,-71.1120871
Columbia Park Cafe @ Sovereign Bank,"'2 William T Morrissey Bl.,Boston,MA,USA'",'A; B; C',42.3188111,-71.0485813
Santander Bank Coffee Bar,"'2 William T Morrissey Bl.,Boston,MA,USA'",'A; B; C',42.3188111,-71.0485813
El Fongon Restaurant,"'170 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.3189612,-71.0776057
Charlies Pizza And Kitchen,"'930 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3190874,-71.0566212
Merengue Restaurant,"'156 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.31919,-71.077559
Acapulco Mexican Restaurant,"'466 Centre.,Boston,MA,USA'",'A; B; C',42.3192366,-71.1118613
Blue Hill Pizza,"'161 Blue Hill Ave.,Boston,MA,USA'",'A; B; C',42.31929,-71.0779752
Canary Square,"'435 S Huntington Ave.,Boston,MA,USA'",'A; B; C',42.3197881,-71.1119981
Rita's Catering,"'Georges Island.,Boston,MA,USA'",'A; B; C',42.3200063,-70.9286732
El Oriental De Cuba,"'414 Centre St.,Boston,MA,USA'",'A; B; C',42.320863,-71.1106137
The Haven,"'401 Centre St.,Boston,MA,USA'",'A; B; C',42.321699,-71.1102515
Sorella's,"'388 Centre St.,Boston,MA,USA'",'A; B; C',42.3217674,-71.1099123
Brendan Behan Pub,"'378 Centre St.,Boston,MA,USA'",'A; B; C',42.3219921,-71.1092813
Pikalo J.P.,"'378 Centre St.,Boston,MA,USA'",'A; B; C',42.3219921,-71.1092813
Alex's Chimis,"'358 Centre.,Boston,MA,USA'",'A; B; C',42.3222409,-71.1076541
Miami Restaurant,"'381 Centre St.,Boston,MA,USA'",'A; B; C',42.3224184,-71.109246
Captain Nemo's,"'367 Centre St.,Boston,MA,USA'",'A; B; C',42.3225122,-71.1085812
Latino Restaurant,"'302 Centre St.,Boston,MA,USA'",'A; B; C',42.3227206,-71.1032357
Cappy's Pizza,"'304 Centre.,Boston,MA,USA'",'A; B; C',42.3227312,-71.1033726
The Old Havana,"'349 Centre St.,Boston,MA,USA'",'A; B; C',42.3227418,-71.1067284
Yely's Coffee Shop,"'284 Centre St.,Boston,MA,USA'",'A; B; C',42.3227801,-71.1020139
Tostado,"'300 Centre St.,Boston,MA,USA'",'A; B; C',42.3227915,-71.1031217
Victoria's Diner,"'1024 Massachusetts Ave.,Boston,MA,USA'",'A; B; C',42.3270323,-71.0667899
Hen House,"'1033 Massachusetts Ave.,Boston,MA,USA'",'A; B; C',42.327127,-71.067638
Cafe 1010,"'1010 Massachusetts Ave.,Boston,MA,USA'",'A; B; C',42.3279958,-71.0672402
Eurest Dining@Suffolk Construction,"'65 Allerton St.,Boston,MA,USA'",'A; B; C',42.3283473,-71.0702877
Vasquez Pizza & Spanish Food,"'258 Dudley St.,Boston,MA,USA'",'A; B; C',42.3286292,-71.0790261
Peking House,"'160 Dudley St.,Boston,MA,USA'",'A; B; C',42.3286361,-71.0831277
Arizona B B Q,"'2360 Washington St.,Boston,MA,USA'",'A; B; C',42.3293674,-71.0844591
Royal Fried Chicken,"'2360 Washington St.,Boston,MA,USA'",'A; B; C',42.3293674,-71.0844591
Yummy Yummy,"'2360 Washington St.,Boston,MA,USA'",'A; B; C',42.3293674,-71.0844591
Supreme House Of Pizza,"'309 Old Colony Ave.,Boston,MA,USA'",'A; B; C',42.3296394,-71.0530241
Hafun Cafe,"'37 Roxbury St.,Boston,MA,USA'",'A; B; C',42.3296825,-71.0853514
Tony's,"'960 Massachusetts Ave.,Boston,MA,USA'",'A; B; C',42.3298321,-71.0688039
Safari M. Cafe,"'50 John Eliot Sq.,Boston,MA,USA'",'A; B; C',42.3298422,-71.0914935
Red Line Pizza And Grill,"'582 Dorchester Ave.,Boston,MA,USA'",'A; B; C',42.3299902,-71.0569532
Dudley Dough,"'2300 Washington St.,Boston,MA,USA'",'A; B; C',42.3301639,-71.083968
Molina Restaurant,"'130 Newmarket Sq.,Boston,MA,USA'",'A; B; C',42.3303477,-71.0681385
Anshur Restauruant,"'291 Roxbury St.,Boston,MA,USA'",'A; B; C',42.3304142,-71.0942869
Dudly Coffee,"'2296 Washington St.,Boston,MA,USA'",'A; B; C',42.3304325,-71.0837531
Morgan Memorial Cafeteria,"'1010 Harrison Ave.,Boston,MA,USA'",'A; B; C',42.3308653,-71.079945
D'Angelo's,"'267 Old Colony Ave.,Boston,MA,USA'",'A; B; C',42.330979,-71.0532025
Seapoint Restaurant,"'367 East Eighth.,Boston,MA,USA'",'A; B; C',42.3311127,-71.0463381
Touchie's Shamrock Pub,"'501 E Eighth St.,Boston,MA,USA'",'A; B; C',42.3312365,-71.0412195
Wok 'N Talk,"'23 S Huntington Ave.,Boston,MA,USA'",'A; B; C',42.3314666,-71.1121349
A K's Take Out & Delivery,"'1427 Tremont St.,Boston,MA,USA'",'A; B; C',42.3318927,-71.0963204
Haley House Bakery Cafe,"'12 Dade St.,Boston,MA,USA'",'A; B; C',42.3320416,-71.0825178
